periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
202007,3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,440,14,37,2,387,0,0,0,1,0,1,861,162,699
202007,3175011004,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,111,5,0,2,104,1,0,1,1,0,1,327,9,318
202007,3172051001,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,211,2,11,2,196,0,0,0,12,0,12,428,22,406
202007,3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,825,17,159,5,644,0,0,0,5,1,4,1480,122,1358
202007,3175101004,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,75,1,1,0,73,0,0,0,2,0,2,82,15,67
202007,3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,94,5,4,6,79,0,0,0,3,0,3,220,44,176
202007,3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,82,6,3,1,72,0,0,0,2,0,2,213,81,132
202007,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,137,2,16,4,115,0,0,0,11,0,11,295,20,275
202007,3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,136,0,7,3,126,0,0,0,40,6,34,702,151,551
202007,3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,97,1,7,2,87,1,0,1,1,0,1,307,29,278
202007,3174071001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,9,0,1,0,8,0,0,0,1,0,1,26,0,26
202007,3172041003,DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,111,2,37,0,72,0,0,0,0,0,0,118,16,102
202007,3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,89,5,1,1,82,0,0,0,5,0,5,147,13,134
202007,3174011006,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,54,1,0,2,51,0,0,0,6,0,6,252,27,225
202007,3174011007,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,83,4,2,0,77,0,0,0,4,0,4,217,11,206
202007,3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,106,11,0,1,94,0,0,0,1,0,1,195,10,185
202007,3173031005,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,41,2,2,1,36,0,0,0,0,0,0,78,14,64
